Latitude,Longitude,Biome_name
0,0,Temprerate Rain Forest
0,1,Tundra
0,2,Mountain
0,3,Oceanic
0,4,Desert
0,5,Swamp
0,6,Arctic
0,7,Temperate Rain Forest
0,8,Oceanic
0,9,Desert
0,10,Taiga
0,11,Grassland
0,12,Swamp
0,13,Temprerate Rain Forest
0,14,Taiga
0,15,Tundra
0,16,Grassland
0,17,Tropical Rain Forest
0,18,Tropical Rain Forest
0,19,Temperate Rain Forest
1,0,Temprerate Rain Forest
1,1,Temperate Rain Forest
1,2,Mountain
1,3,Temperate Rain Forest
1,4,Tropical Rain Forest
1,5,Swamp
1,6,Tempreate Rain Forest
1,7,Taiga
1,8,Mountain
1,9,Temprerate Rain Forest
1,10,Swamp
1,11,Desert
1,12,Arctic
1,13,Arctic
1,14,Temprerate Rain Forest
1,15,Temperate Rain Forest
1,16,Swamp
1,17,Tempreate Rain Forest
1,18,Temprerate Rain Forest
1,19,Tempreate Rain Forest
2,0,Arctic
2,1,Taiga
2,2,Oceanic
2,3,Arctic
2,4,Tundra
2,5,Desert
2,6,Taiga
2,7,Taiga
2,8,Grassland
2,9,Temperate Rain Forest
2,10,Taiga
2,11,Temperate Rain Forest
2,12,Mountain
2,13,Temprerate Rain Forest
2,14,Desert
2,15,Oceanic
2,16,Desert
2,17,Mountain
2,18,Desert
2,19,Desert
3,0,Temperate Rain Forest
3,1,Taiga
3,2,Mountain
3,3,Taiga
3,4,Tundra
3,5,Arctic
3,6,Temperate Rain Forest
3,7,Arctic
3,8,Desert
3,9,Oceanic
3,10,Tundra
3,11,Swamp
3,12,Oceanic
3,13,Taiga
3,14,Swamp
3,15,Swamp
3,16,Swamp
3,17,Desert
3,18,Mountain
3,19,Desert
4,0,Temperate Rain Forest
4,1,Oceanic
4,2,Temprerate Rain Forest
4,3,Taiga
4,4,Oceanic
4,5,Temperate Rain Forest
4,6,Desert
4,7,Mountain
4,8,Tempreate Rain Forest
4,9,Tundra
4,10,Swamp
4,11,Taiga
4,12,Arctic
4,13,Tropical Rain Forest
4,14,Taiga
4,15,Tempreate Rain Forest
4,16,Swamp
4,17,Temprerate Rain Forest
4,18,Arctic
4,19,Swamp
5,0,Desert
5,1,Temprerate Rain Forest
5,2,Tempreate Rain Forest
5,3,Tundra
5,4,Tempreate Rain Forest
5,5,Tundra
5,6,Grassland
5,7,Desert
5,8,Arctic
5,9,Temprerate Rain Forest
5,10,Oceanic
5,11,Taiga
5,12,Grassland
5,13,Temprerate Rain Forest
5,14,Tempreate Rain Forest
5,15,Swamp
5,16,Tropical Rain Forest
5,17,Tundra
5,18,Temperate Rain Forest
5,19,Tempreate Rain Forest
6,0,Tundra
6,1,Grassland
6,2,Taiga
6,3,Tundra
6,4,Tropical Rain Forest
6,5,Oceanic
6,6,Taiga
6,7,Mountain
6,8,Temprerate Rain Forest
