name,level,exp
Bulbasaur,1,0
Bulbasaur,21,25719
Bulbasaur,41,205148
Bulbasaur,61,692717
Bulbasaur,81,1654331
Bulbasaur,2,56
Bulbasaur,22,29760
Bulbasaur,42,220918
Bulbasaur,62,727999
Bulbasaur,82,1719369
Bulbasaur,3,80
Bulbasaur,23,34204
Bulbasaur,43,237476
Bulbasaur,63,764469
Bulbasaur,83,1786616
Bulbasaur,4,143
Bulbasaur,24,39072
Bulbasaur,44,254843
Bulbasaur,64,802150
Bulbasaur,84,1856285
Bulbasaur,5,264
Bulbasaur,25,44381
Bulbasaur,45,273038
Bulbasaur,65,841063
Bulbasaur,85,1928652
Bulbasaur,6,462
Bulbasaur,26,50151
Bulbasaur,46,292080
Bulbasaur,66,881231
Bulbasaur,86,2004096
Bulbasaur,7,755
Bulbasaur,27,56402
Bulbasaur,47,311988
Bulbasaur,67,922677
Bulbasaur,87,2083133
Bulbasaur,8,1165
Bulbasaur,28,63153
Bulbasaur,48,332783
Bulbasaur,68,965426
Bulbasaur,88,2166493
Bulbasaur,9,1708
Bulbasaur,29,70423
Bulbasaur,49,354483
Bulbasaur,69,1009503
Bulbasaur,89,2255223
Bulbasaur,10,2406
Bulbasaur,30,78231
Bulbasaur,50,377109
Bulbasaur,70,1054934
Bulbasaur,90,2350862
Bulbasaur,11,3276
Bulbasaur,31,86596
Bulbasaur,51,400680
Bulbasaur,71,1101747
Bulbasaur,91,2455731
Bulbasaur,12,4338
Bulbasaur,32,95538
Bulbasaur,52,425215
Bulbasaur,72,1149972
Bulbasaur,92,2573427
Bulbasaur,13,5612
Bulbasaur,33,105076
Bulbasaur,53,450734
Bulbasaur,73,1199641
Bulbasaur,93,2709699
Bulbasaur,14,7117
Bulbasaur,34,115229
Bulbasaur,54,477257
Bulbasaur,74,1250789
Bulbasaur,94,2874067
Bulbasaur,15,8871
Bulbasaur,35,126017
Bulbasaur,55,504804
Bulbasaur,75,1303455
Bulbasaur,95,3082934
Bulbasaur,16,10894
Bulbasaur,36,137459
Bulbasaur,56,533395
Bulbasaur,76,1357683
Bulbasaur,96,3365939
Bulbasaur,17,13206
Bulbasaur,37,149573
Bulbasaur,57,563050
Bulbasaur,77,1413522
Bulbasaur,97,3779698
Bulbasaur,18,15825
Bulbasaur,38,162380
Bulbasaur,58,593789
Bulbasaur,78,1471030
Bulbasaur,98,4439936
Bulbasaur,19,18771
Bulbasaur,39,175899
Bulbasaur,59,625633
Bulbasaur,79,1530276
Bulbasaur,99,5603814
Bulbasaur,20,22062
Bulbasaur,40,190148
Bulbasaur,60,658602
Bulbasaur,80,1591343
Bulbasaur,100,7906956
Ivysaur,1,0
Ivysaur,21,56662
Ivysaur,41,451968
Ivysaur,61,1526143
Ivysaur,81,3644699
Ivysaur,2,124
Ivysaur,22,65565
Ivysaur,42,486710
Ivysaur,62,1603874
Ivysaur,82,3787984
Ivysaur,3,178
Ivysaur,23,75357
Ivysaur,43,523190
Ivysaur,63,1684222
Ivysaur,83,3936139
Ivysaur,4,317
Ivysaur,24,86080
Ivysaur,44,561452
Ivysaur,64,1767237
Ivysaur,84,4089627
Ivysaur,5,582
Ivysaur,25,97777
Ivysaur,45,601537
Ivysaur,65,1852967
Ivysaur,85,4249063
Ivysaur,6,1018
Ivysaur,26,110490
Ivysaur,46,643489
Ivysaur,66,1941462
Ivysaur,86,4415274
Ivysaur,7,1665
Ivysaur,27,124262
Ivysaur,47,687350
Ivysaur,67,2032773
Ivysaur,87,4589403
Ivysaur,8,2566
Ivysaur,28,139135
Ivysaur,48,733163
Ivysaur,68,2126954
Ivysaur,88,4773056
Ivysaur,9,3764
Ivysaur,29,155151
Ivysaur,49,780972
Ivysaur,69,2224061
Ivysaur,89,4968538
Ivysaur,10,5300
Ivysaur,30,172353
Ivysaur,50,830819
Ivysaur,70,2324151
Ivysaur,90,5179243
Ivysaur,11,7218
Ivysaur,31,190783
Ivysaur,51,882748
Ivysaur,71,2427286
Ivysaur,91,5410282
Ivysaur,12,9559
Ivysaur,32,210483
Ivysaur,52,936802
Ivysaur,72,2533532
Ivysaur,92,5669581
Ivysaur,13,12365
Ivysaur,33,231497
Ivysaur,53,993024
Ivysaur,73,2642959
Ivysaur,93,5969807
Ivysaur,14,15680
Ivysaur,34,253866
Ivysaur,54,1051458
Ivysaur,74,2755645
Ivysaur,94,6331929
Ivysaur,15,19545
Ivysaur,35,277632
Ivysaur,55,1112147
Ivysaur,75,2871675
Ivysaur,95,6792090
Ivysaur,16,24002
Ivysaur,36,302839
Ivysaur,56,1175137
Ivysaur,76,2991145
Ivysaur,96,7415584
Ivysaur,17,29095
Ivysaur,37,329529
Ivysaur,57,1240471
Ivysaur,77,3114166
Ivysaur,97,8327148
Ivysaur,18,34865
Ivysaur,38,357744
Ivysaur,58,1308193
Ivysaur,78,3240864
Ivysaur,98,9781734
Ivysaur,19,41354
Ivysaur,39,387528
Ivysaur,59,1378349
Ivysaur,79,3371391
Ivysaur,99,12345903
Ivysaur,20,48606
Ivysaur,40,418921
Ivysaur,60,1450984
Ivysaur,80,3505928
Ivysaur,100,17420014
Venusaur,1,0
Venusaur,21,83587
Venusaur,41,666733
Venusaur,61,2251332
Venusaur,81,5376578
Venusaur,2,183
Venusaur,22,96720
Venusaur,42,717983
Venusaur,62,2365998
Venusaur,82,5587949
Venusaur,3,262
Venusaur,23,111165
Venusaur,43,771799
Venusaur,63,2484527
Venusaur,83,5806504
Venusaur,4,467
Venusaur,24,126984
Venusaur,44,828241
Venusaur,64,2606988
Venusaur,84,6032926
Venusaur,5,859
Venusaur,25,144239
Venusaur,45,887374
Venusaur,65,2733455
Venusaur,85,6268121
Venusaur,6,1502
Venusaur,26,162993
Venusaur,46,949260
Venusaur,66,2864000
Venusaur,86,6513312
Venusaur,7,2456
Venusaur,27,183309
Venusaur,47,1013963
Venusaur,67,2998701
Venusaur,87,6770183
Venusaur,8,3786
Venusaur,28,205249
Venusaur,48,1081546
Venusaur,68,3137635
Venusaur,88,7041104
Venusaur,9,5553
Venusaur,29,228876
Venusaur,49,1152072
Venusaur,69,3280884
Venusaur,89,7329475
Venusaur,10,7819
Venusaur,30,254251
Venusaur,50,1225606
Venusaur,70,3428535
Venusaur,90,7640302
Venusaur,11,10648
Venusaur,31,281439
Venusaur,51,1302210
Venusaur,71,3580678
Venusaur,91,7981126
Venusaur,12,14101
Venusaur,32,310500
Venusaur,52,1381949
Venusaur,72,3737409
Venusaur,92,8363638
Venusaur,13,18241
Venusaur,33,341499
Venusaur,53,1464886
Venusaur,73,3898834
Venusaur,93,8806524
Venusaur,14,23131
Venusaur,34,374497
Venusaur,54,1551087
Venusaur,74,4065065
Venusaur,94,9340719
Venusaur,15,28832
Venusaur,35,409557
Venusaur,55,1640615
Venusaur,75,4236230
Venusaur,95,10019538
Venusaur,16,35408
Venusaur,36,446742
Venusaur,56,1733536
Venusaur,76,4412470
Venusaur,96,10939302
Venusaur,17,42920
Venusaur,37,486114
Venusaur,57,1829914
Venusaur,77,4593947
Venusaur,97,12284019
Venusaur,18,51432
Venusaur,38,527737
Venusaur,58,1929817
Venusaur,78,4780849
Venusaur,98,14429793
Venusaur,19,61005
Venusaur,39,571672
Venusaur,59,2033309
Venusaur,79,4973399
Venusaur,99,18212396
Venusaur,20,71703
Venusaur,40,617983
Venusaur,60,2140458
Venusaur,80,5171866
Venusaur,100,25697609
Charmander,1,0
Charmander,21,26121
Charmander,41,208354
Charmander,61,703541
Charmander,81,1680180
Charmander,2,57
Charmander,22,30225
Charmander,42,224369
Charmander,62,739374
Charmander,82,1746234
Charmander,3,82
Charmander,23,34739
Charmander,43,241187
Charmander,63,776414
Charmander,83,1814532
Charmander,4,146
Charmander,24,39682
Charmander,44,258825
Charmander,64,814684
Charmander,84,1885289
Charmander,5,268
Charmander,25,45074
Charmander,45,277304
Charmander,65,854204
Charmander,85,1958788
Charmander,6,469
Charmander,26,50935
Charmander,46,296643
Charmander,66,895000
Charmander,86,2035410
Charmander,7,767
Charmander,27,57284
Charmander,47,316863
Charmander,67,937094
Charmander,87,2115682
Charmander,8,1183
Charmander,28,64140
Charmander,48,337983
Charmander,68,980511
Charmander,88,2200345
Charmander,9,1735
Charmander,29,71523
Charmander,49,360022
Charmander,69,1025276
Charmander,89,2290461
Charmander,10,2443
Charmander,30,79453
Charmander,50,383001
Charmander,70,1071417
Charmander,90,2387594
Charmander,11,3327
Charmander,31,87949
Charmander,51,406940
Charmander,71,1118962
Charmander,91,2494102
Charmander,12,4406
Charmander,32,97031
Charmander,52,431859
Charmander,72,1167940
Charmander,92,2613637
Charmander,13,5700
Charmander,33,106718
Charmander,53,457777
Charmander,73,1218385
Charmander,93,2752038
Charmander,14,7228
Charmander,34,117030
Charmander,54,484714
Charmander,74,1270333
Charmander,94,2918974
Charmander,15,9010
Charmander,35,127986
Charmander,55,512692
Charmander,75,1323822
Charmander,95,3131105
Charmander,16,11065
Charmander,36,139607
Charmander,56,541730
Charmander,76,1378897
Charmander,96,3418532
Charmander,17,13412
Charmander,37,151910
Charmander,57,571848
Charmander,77,1435608
Charmander,97,3838756
Charmander,18,16072
Charmander,38,164917
Charmander,58,603067
Charmander,78,1494015
Charmander,98,4509310
Charmander,19,19064
Charmander,39,178647
Charmander,59,635409
Charmander,79,1554187
Charmander,99,5691374
Charmander,20,22407
Charmander,40,193119
Charmander,60,668893
Charmander,80,1616208
Charmander,100,8030503
Charmeleon,1,0
Charmeleon,21,57064
Charmeleon,41,455173
Charmeleon,61,1536967
Charmeleon,81,3670548
Charmeleon,2,125
Charmeleon,22,66030
Charmeleon,42,490162
Charmeleon,62,1615249
Charmeleon,82,3814849
Charmeleon,3,179
Charmeleon,23,75891
Charmeleon,43,526901
Charmeleon,63,1696167
Charmeleon,83,3964055
Charmeleon,4,319
Charmeleon,24,86691
Charmeleon,44,565434
Charmeleon,64,1779771
Charmeleon,84,4118632
Charmeleon,5,587
Charmeleon,25,98471
Charmeleon,45,605803
Charmeleon,65,1866108
Charmeleon,85,4279198
Charmeleon,6,1025
Charmeleon,26,111274
Charmeleon,46,648052
Charmeleon,66,1955231
Charmeleon,86,4446588
Charmeleon,7,1677
Charmeleon,27,125144
Charmeleon,47,692225
Charmeleon,67,2047190
Charmeleon,87,4621952
Charmeleon,8,2585
Charmeleon,28,140122
Charmeleon,48,738363
Charmeleon,68,2142039
Charmeleon,88,4806907
Charmeleon,9,3791
Charmeleon,29,156252
Charmeleon,49,786511
Charmeleon,69,2239834
Charmeleon,89,5003776
Charmeleon,10,5338
Charmeleon,30,173575
Charmeleon,50,836711
Charmeleon,70,2340634
Charmeleon,90,5215975
Charmeleon,11,7269
Charmeleon,31,192136
Charmeleon,51,889008
Charmeleon,71,2444501
Charmeleon,91,5448653
Charmeleon,12,9626
Charmeleon,32,211976
Charmeleon,52,943446
Charmeleon,72,2551500
Charmeleon,92,5709791
Charmeleon,13,12453
Charmeleon,33,233139
Charmeleon,53,1000066
Charmeleon,73,2661704
Charmeleon,93,6012146
Charmeleon,14,15791
Charmeleon,34,255666
Charmeleon,54,1058915
Charmeleon,74,2775189
Charmeleon,94,6376837
Charmeleon,15,19683
Charmeleon,35,279601
Charmeleon,55,1120035
Charmeleon,75,2892042
Charmeleon,95,6840261
Charmeleon,16,24172
Charmeleon,36,304987
Charmeleon,56,1183471
Charmeleon,76,3012359
Charmeleon,96,7468177
Charmeleon,17,29301
Charmeleon,37,331866
Charmeleon,57,1249268
Charmeleon,77,3136252
Charmeleon,97,8386205
Charmeleon,18,35112
Charmeleon,38,360282
Charmeleon,58,1317471
Charmeleon,78,3263849
Charmeleon,98,9851108
Charmeleon,19,41648
Charmeleon,39,390276
Charmeleon,59,1388124
Charmeleon,79,3395301
Charmeleon,99,12433463
Charmeleon,20,48951
Charmeleon,40,421892
Charmeleon,60,1461274
Charmeleon,80,3530793
Charmeleon,100,17543560
Charizard,1,0
Charizard,21,83989
Charizard,41,669938
Charizard,61,2262156
Charizard,81,5402427
Charizard,2,184
Charizard,22,97185
Charizard,42,721435
Charizard,62,2377373
Charizard,82,5614814
Charizard,3,264
Charizard,23,111699
Charizard,43,775509
Charizard,63,2496472
Charizard,83,5834419
Charizard,4,469
Charizard,24,127594
Charizard,44,832223
Charizard,64,2619522
Charizard,84,6061930
Charizard,5,864
Charizard,25,144932
Charizard,45,891640
Charizard,65,2746596
Charizard,85,6298256
Charizard,6,1509
Charizard,26,163777
Charizard,46,953824
Charizard,66,2877770
Charizard,86,6544626
Charizard,7,2468
Charizard,27,184190
Charizard,47,1018838
Charizard,67,3013118
Charizard,87,6802732
Charizard,8,3804
Charizard,28,206236
Charizard,48,1086746
Charizard,68,3152720
Charizard,88,7074955
Charizard,9,5579
Charizard,29,229976
Charizard,49,1157611
Charizard,69,3296658
Charizard,89,7364713
Charizard,10,7857
Charizard,30,255474
Charizard,50,1231498
Charizard,70,3445018
Charizard,90,7677034
Charizard,11,10699
Charizard,31,282792
Charizard,51,1308470
Charizard,71,3597893
Charizard,91,8019497
Charizard,12,14169
Charizard,32,311993
Charizard,52,1388593
Charizard,72,3755378
Charizard,92,8403848
Charizard,13,18329
Charizard,33,343141
Charizard,53,1471929
Charizard,73,3917578
Charizard,93,8848863
Charizard,14,23242
Charizard,34,376297
Charizard,54,1558544
Charizard,74,4084609
Charizard,94,9385626
Charizard,15,28971
Charizard,35,411526
Charizard,55,1648502
Charizard,75,4256597
Charizard,95,10067709
Charizard,16,35578
Charizard,36,448890
Charizard,56,1741870
Charizard,76,4433684
Charizard,96,10991895
Charizard,17,43127
Charizard,37,488451
Charizard,57,1838712
Charizard,77,4616033
Charizard,97,12343077
Charizard,18,51679
Charizard,38,530274
Charizard,58,1939095
Charizard,78,4803834
Charizard,98,14499167
Charizard,19,61299
Charizard,39,574420
Charizard,59,2043085
Charizard,79,4997310
Charizard,99,18299956
Charizard,20,72048
Charizard,40,620954
Charizard,60,2150749
Charizard,80,5196730
Charizard,100,25821155
Squirtle,1,0
Squirtle,21,26522
Squirtle,41,211559
Squirtle,61,714365
Squirtle,81,1706029
Squirtle,2,58
Squirtle,22,30690
Squirtle,42,227821
Squirtle,62,750749
Squirtle,82,1773099
Squirtle,3,83
Squirtle,23,35273
Squirtle,43,244897
Squirtle,63,788359
Squirtle,83,1842448
Squirtle,4,148
Squirtle,24,40293
Squirtle,44,262807
Squirtle,64,827217
Squirtle,84,1914293
Squirtle,5,272
Squirtle,25,45768
Squirtle,45,281570
Squirtle,65,867346
Squirtle,85,1988923
Squirtle,6,476
Squirtle,26,51719
Squirtle,46,301207
Squirtle,66,908769
Squirtle,86,2066724
Squirtle,7,779
Squirtle,27,58165
Squirtle,47,321738
Squirtle,67,951510
Squirtle,87,2148231
Squirtle,8,1201
Squirtle,28,65127
Squirtle,48,343183
Squirtle,68,995595
Squirtle,88,2234196
Squirtle,9,1762
Squirtle,29,72624
Squirtle,49,365561
Squirtle,69,1041049
Squirtle,89,2325699
Squirtle,10,2481
Squirtle,30,80676
Squirtle,50,388894
Squirtle,70,1087900
Squirtle,90,2424326
Squirtle,11,3378
Squirtle,31,89302
Squirtle,51,413201
Squirtle,71,1136176
Squirtle,91,2532472
Squirtle,12,4474
Squirtle,32,98524
Squirtle,52,438503
Squirtle,72,1185908
Squirtle,92,2653846
Squirtle,13,5788
Squirtle,33,108360
Squirtle,53,464819
Squirtle,73,1237130
Squirtle,93,2794377
Squirtle,14,7339
Squirtle,34,118830
Squirtle,54,492171
Squirtle,74,1289876
Squirtle,94,2963882
Squirtle,15,9148
Squirtle,35,129955
Squirtle,55,520579
Squirtle,75,1344188
Squirtle,95,3179276
Squirtle,16,11235
Squirtle,36,141754
Squirtle,56,550064
Squirtle,76,1400110
Squirtle,96,3471124
Squirtle,17,13619
Squirtle,37,154247
Squirtle,57,580646
Squirtle,77,1457694
Squirtle,97,3897813
Squirtle,18,16319
Squirtle,38,167455
Squirtle,58,612345
Squirtle,78,1517000
Squirtle,98,4578684
Squirtle,19,19357
Squirtle,39,181396
Squirtle,59,645184
Squirtle,79,1578097
Squirtle,99,5778933
Squirtle,20,22752
Squirtle,40,196090
Squirtle,60,679184
Squirtle,80,1641072
Squirtle,100,8154049
Wartortle,1,0
Wartortle,21,57466
Wartortle,41,458378
Wartortle,61,1547791
Wartortle,81,3696397
Wartortle,2,126
Wartortle,22,66495
Wartortle,42,493613
Wartortle,62,1626624
Wartortle,82,3841715
Wartortle,3,180
Wartortle,23,76426
Wartortle,43,530611
Wartortle,63,1708112
Wartortle,83,3991971
Wartortle,4,321
Wartortle,24,87301
Wartortle,44,569416
Wartortle,64,1792304
Wartortle,84,4147636
Wartortle,5,591
Wartortle,25,99164
Wartortle,45,610069
Wartortle,65,1879250
Wartortle,85,4309333
Wartortle,6,1032
Wartortle,26,112058
Wartortle,46,652616
Wartortle,66,1969000
Wartortle,86,4477902
Wartortle,7,1689
Wartortle,27,126025
Wartortle,47,697099
Wartortle,67,2061607
Wartortle,87,4654501
Wartortle,8,2603
Wartortle,28,141109
Wartortle,48,743563
Wartortle,68,2157124
Wartortle,88,4840759
Wartortle,9,3817
Wartortle,29,157352
Wartortle,49,792050
Wartortle,69,2255608
Wartortle,89,5039014
Wartortle,10,5376
Wartortle,30,174798
Wartortle,50,842604
Wartortle,70,2357118
Wartortle,90,5252707
Wartortle,11,7320
Wartortle,31,193489
Wartortle,51,895269
Wartortle,71,2461716
Wartortle,91,5487024
Wartortle,12,9694
Wartortle,32,213469
Wartortle,52,950089
Wartortle,72,2569469
Wartortle,92,5750001
Wartortle,13,12541
Wartortle,33,234780
Wartortle,53,1007109
Wartortle,73,2680448
Wartortle,93,6054485
Wartortle,14,15902
Wartortle,34,257466
Wartortle,54,1066372
