species id,identifier,fast attacks,special attacks
1,Bulbasaur,"Tackle, Vine Whip","Power Whip, Seed Bomb, Sludge Bomb"
2,Ivysaur,"Razor Leaf, Vine Whip","Power Whip, Sludge Bomb, Solar Beam"
3,Venusaur,"Razor Leaf, Vine Petal Blizzard, Sludge Bomb, Solar BeamWhip","Petal Blizzard, Sludge Bomb, Solar Beam"
4,Charmander,"Scratch, Ember","Flame Burst, Flame Charge, Flamethrower"
5,Charmeleon,"Scratch, Ember","Fire Punch, Flame Burst, Flamethrower"
6,Charizard,"Ember, Wing Attack","Dragon Claw, Fire Blast, Flamethrower"
7,Squirtle,"Tackle, Bubble","Aqua Jet, Aqua Tail, Water Pulse"
8,Wartortle,"Bite, Water Gun","Aqua Jet, Hydro Pump, Ice Beam"
9,Blastoise,"Bite, Water Gun","ÊFlash Cannon, Ice Beam, Hydro Pump"
10,Caterpie,"Tackle, Bug Bite",Struggle
11,Metapod,"Tackle, Bug Bite",Struggle
12,Butterfree,"Confusion, Bug Bite","Psychic, Bug Buzz, Signal Beam"
13,Weedle,"Bug Bite, Poison Sting",Struggle
14,Kakuna,"Bug Bite, Poison Sting",ÊStruggle
15,Beedrill,"Bug Bite, Poison Jab","Aerial Ace, Sludge Bomb, X-Scissor"
16,Pidgey,"Tackle, Quick Attack","ÊTwister, Aerial Ace, Air Cutter"
17,Pidgeotto,"Wing Attack, Steel Wing","Twister, Aerial Ace, Air Cutter"
18,Pidgeot,"Wing Attack, Steel Wing","Hurricane, Aerial Ace, Air Cutter"
19,Rattata,"Tackle, Quick Attack","ÊDig, Hyper Fang, Body Slam"
20,Raticate,"Bite, Quick Attack","Dig, Hyper Fang, Hyper Beam"
21,Spearow,"Peck, Quick Attack","Dig, Hyper Fang, Body Slam"
22,Fearow,"ÊPeck, Steel Wing","Aerial Ace, Twister, Drill Run"
23,Ekans,"Acid, Poison Sting","Gunk Shot, Sludge Bomb, Wrap"
24,Arbok,"Acid, Bite","Gunk Shot, Sludge Wave, Dark Pulse"
25,Pikachu,"Thunder Shock, Quick Attack","Thunderbolt, Discharge, Thunder"
26,Raichu,"Thunder Shock, Spark","ÊBrick Break, Thunder Punch, Thunder"
27,Sandshrew,"Scratch, Mud Show","Dig, Rock Slide, Rock Tomb"
28,Sandslash,"Metal Claw, Mud Shot","Rock Tomb, Bulldoze, Earthquake"
29,Nidoran-f,"ÊPoison Sting, Bite","Poison Fang, Sludge Bomb, Body Slam"
30,Nidorina,"Poison Sting, Bite","Poison Fang, Sludge Bomb, Dig"
31,Nidoqueen,"Poison Jab, Bite","Stone Edge, Sludge Wave, Earthquake"
32,Nidoran-m,"Poison Sting, Peck","Horn Attack, Body Slam, Sludge Bomb"
33,Nidorino,"Poison Jab, Bite","Horn Attack, Dig, Sludge Bomb"
34,Nidoking,"Poison Jab, Fury Cutter","Megahorn, Earthquake, Sludge Wave"
35,Clefairy,"ÊZen Headbutt, Pound","Body Slam, Disarming Voice, Moonblast"
36,Clefable,"Zen Headbutt, Pound","Psychic, Dazzling Gleam, Moonblast"
37,Vulpix,"Quick Attack, Ember","Heat Wave, Fire Blast, Flamethrower"
38,Ninetales,"Feint Attack, Ember","Heat Wave, Fire Blast, Flamethrower"
39,Jigglypuff,"ÊFeint Attack, Pound","Disarming Voice, Body Slam, Play Rough"
40,Wigglytuff,"ÊFeint Attack, Pound","Dazzling Gleam, Hyper Beam, Play Rough"
41,Zubat,"Quick Attack, Bite","ÊSludge Bomb, Poison Fang, Air Cutter"
42,Golbat,"Bite, Wing Attack","Ominous Wind, Poison Fang, Air Cutter"
43,Oddish,"Razor Leaf, Acid","ÊMoonblast, Seed Bomb, Sludge Bomb"
44,Gloom,"Razor Leaf, Acid","Moonblast, Petal Blizzard, Sludge Bomb"
45,Vileplume,"Razor Leaf, Acid","ÊMoonblast, Petal Blizzard, Solar Beam"
46,Paras,"Bug Bite, Fury Cutter","Seed Bomb, X-Scissor, Cross Poison"
47,Parasect,"Bite, Wing Attack","ÊSolar Beam, X-Scissor, Cross Poison"
48,Venonat,"Confusion, Bug Bite","Signal Beam, Poison Fang, Psybeam"
49,Venomoth,"ÊConfusion, Bug Bite","ÊBug buzz, Poison Fang, Psychic"
50,Diglett,"Scratch, Mud Shot","Rock Tomb, Dig, Mud Bomb"
51,Dugtrio,"Sucker Punch, Mud Shot","Stone Edge, Earthquake, Mud Bomb"
52,Meowth,"Scratch, Bite","Dark Pulse, Night Slash, Body Slam"
53,Persian,"Scratch, Feint Attack","Play Rough, Power Gem, Night Slash"
54,Psyduck,"Zen Headbutt, Water Gun","Aqua Tail, Cross Chop, Psybeam"
55,Golduck,"Confusion, Water Gun","ÊIce Beam, Psychic, Hydro pump"
56,Mankey,"Scratch, Karate Chop","Brick Break, Cross Chop, Low Sweep"
57,Primeape,"Karate Chop, Low Kick","Night Slash, Cross Chop, Low Sweep"
58,Growlithe,"Bite, Ember","Flame Wheel, Body Slam, Flamethrower"
59,Arcanine,"Bite, Fire Fang","Fire Blast, Bulldoze, Flamethrower"
60,Poliwag,"Bubble, Mud Shot","Body Slam, Bubble Beam, Mud Bomb"
61,Poliwhirl,"Bubble, Mud Shot","ÊScald, Bubble Beam, Mud Bomb"
62,Poliwrath,"Bubble, Mud Shot","Ice Punch, Submission, Hydro Pump"
63,Abra,Zen Headbutt,"Shadow Ball, Signal Beam, Psyshock"
64,Kadabra,"Confusion, Psycho Cut","Shadow Ball, Dazzling Gleam, Psybeam"
65,Alakazam,"Confusion, Psycho Cut","Shadow Ball, Dazzling Gleam, Psychic"
66,Machop,"Low Kick, Karate Chop","Brick Break, Cross Chop, Low Sweep"
67,Machoke,"Low Kick, Karate Chop","Brick Break, Cross Chop, Submission"
68,Machamp,"Bullet Punch, Karate Chop","ÊStone Edge, Cross Chop, Submission"
69,Bellsprout,"Acid, Vine Whip","Sludge Bomb, Power Whip, Wrap"
70,Weepinbell,"Acid, Razor Leaf","Sludge Bomb, Power Whip, Seed Bomb"
